Number;Row_Reference;Column_Reference;xAngle;yAngle
0;202.910448;321.089552;0.000203;0.000509
1;202.954545;380.893939;0.000086;0.000055
2;203.000000;440.573770;0.000125;0.001054
3;203.151515;499.939394;0.000133;0.001497
4;203.406250;559.265625;0.000110;0.002459
5;203.727273;618.272727;0.000182;0.003890
6;262.285714;321.000000;0.000053;0.000341
7;262.354839;380.983871;0.065416;0.094724
8;262.583333;440.650000;0.000021;0.001054
9;262.666667;500.111111;0.000042;0.001528
10;262.796610;559.457627;0.000102;0.002472
11;262.935484;618.258065;0.000194;0.003681
12;322.123077;321.123077;0.000061;0.000439
13;322.151515;381.060606;0.080219;0.094752
14;322.213115;440.688525;0.000053;0.001000
15;322.200000;500.107692;0.000050;0.001528
16;322.137931;559.500000;0.000034;0.002500
17;322.150000;618.350000;0.000162;0.003895
18;381.940299;321.223881;0.000087;0.000377
19;381.848485;381.060606;0.000087;0.000653
20;381.838710;440.838710;0.000085;0.001028
21;381.666667;500.111111;0.000042;0.001528
22;381.433333;559.500000;0.000203;0.002600
23;381.396825;618.412698;0.000224;0.004222
24;441.800000;321.500000;-0.000022;0.000290
25;441.701493;381.208955;0.000076;0.000706
26;441.234375;440.953125;0.000066;0.001062
27;441.015873;500.206349;0.000129;0.001696
28;440.983871;559.645161;0.000121;0.002625
29;440.830769;618.400000;0.000164;0.004065
30;501.272727;321.727273;0.000062;0.000235
31;501.046875;381.234375;0.000111;0.000776
32;500.765625;440.953125;0.000159;0.001039
33;500.298507;500.208955;0.000200;0.001555
34;500.079365;559.603175;0.000233;0.002539
35;499.918033;618.327869;0.000129;0.003903